Start,Stop
11:27:45,11:27:59
11:28:10,11:28:38
11:28:50,11:29:21
11:31:49,11:31:55
11:32:08,11:32:16
11:35:35,11:35:49
11:37:51,11:38:04
11:40:12,11:40:33
11:41:55,11:42:14
11:42:22,11:42:51
11:43:21,11:43:30
11:43:52,11:44:22
11:44:47,11:45:38
11:45:38,11:45:50
11:46:01,11:46:14
11:46:24,11:46:37
11:46:55,11:47:10
11:47:46,11:48:04
11:48:31,11:48:42
11:50:17,11:50:28
11:50:51,11:50:58
11:51:50,11:52:04
11:52:24,11:52:40
11:52:56,11:53:39
11:53:58,11:54:10
11:54:43,11:55:01
11:55:51,11:56:06
11:56:18,11:56:31
