Start,Stop
11:41:22,11:41:44
11:41:47,11:42:01
11:42:11,11:42:25
11:42:31,11:42:46
11:42:53,11:43:02
11:43:19,11:43:31
11:45:53,11:47:04
11:47:10,11:47:42
11:48:00,11:48:12
11:48:19,11:48:55
11:49:00,11:49:23
11:49:33,11:49:57
11:50:02,11:50:40
11:50:49,11:51:05
11:51:14,11:51:46
11:51:49,11:52:15
11:52:39,11:53:36
11:53:50,11:55:11
11:55:15,11:55:43
11:56:08,11:56:48
11:56:55,11:57:39
11:57:46,11:58:10
11:58:30,11:58:35
11:58:52,11:59:19
11:59:27,11:59:48
11:59:56,12:00:12
12:00:21,12:00:39
12:00:53,12:01:10
12:01:24,12:01:39
12:01:46,12:02:06
12:02:38,12:02:55
12:03:23,12:04:01
12:04:40,12:04:55
12:05:20,12:05:36
12:05:52,12:06:00
12:06:40,12:07:08
12:07:49,12:08:07
12:08:13,12:08:28
12:08:49,12:09:02
12:09:14,12:09:30
12:10:02,12:10:20
12:11:00,12:11:25
12:11:42,12:12:02
