Start,Stop
11:37:29,11:37:51
11:38:43,11:38:53
11:40:06,11:41:35
11:41:40,11:41:47
11:41:50,11:42:40
11:42:59,11:43:50
11:44:40,11:47:10
11:46:45,11:46:54
11:46:57,11:47:37
11:47:38,11:48:08
11:48:11,11:48:24
11:48:37,11:49:00
11:49:05,11:50:37
11:50:40,11:51:00
11:51:03,11:51:15
11:51:53,11:52:18
11:52:29,11:52:55
11:53:10,11:54:27
11:54:29,11:54:55
11:55:03,11:55:16
11:55:22,11:55:41
11:57:12,11:57:48
11:57:59,11:58:08
11:58:25,11:58:46
11:58:51,11:59:35
11:59:40,12:00:13
12:00:30,12:00:59
12:01:55,12:02:14
12:02:26,12:02:41
12:02:53,12:03:15
12:03:25,12:04:19
12:04:23,12:04:29
12:04:32,12:04:56
12:05:02,12:05:10
12:05:31,12:05:37
12:06:14,12:06:51
