Start,Stop
11:27:42,11:28:06
11:28:18,11:28:47
11:31:26,11:31:45
11:31:54,11:32:02
11:32:53,11:33:45
11:34:28,11:37:20
11:37:26,11:40:01
11:40:11,11:41:46
11:41:53,11:42:00
11:42:24,11:42:32
11:43:01,11:43:16
11:43:39,11:43:51
11:44:31,11:44:55
11:45:30,11:45:38
11:45:57,11:46:18
11:46:29,11:46:46
11:46:51,11:47:02
11:47:20,11:48:12
11:48:18,11:50:09
11:50:16,11:50:26
11:50:35,11:51:41
11:51:52,11:52:12
11:52:21,11:52:29
11:52:50,11:53:16
11:53:49,11:54:32
11:54:40,11:55:43
11:55:51,11:55:57
11:56:12,11:56:50
11:56:58,11:57:22
